path,label
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00016.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_large_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00093.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00025.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00019.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_purple_large_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_large_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_medium_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_medium_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00064.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00062.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00097.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00065.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000143.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_large_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_purple_small_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_medium_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_green_large_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_medium_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000115.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00063.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000130.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00035.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_green_large_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_large_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00069.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00041.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00032.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000123.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00050.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00049.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00051.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00068.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_large_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_small_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 911.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00047.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_medium_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_large_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_medium_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00057.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00042.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00082.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_large_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00037.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_large_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00059.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00094.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_small_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_large_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00011.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_small_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_large_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000119.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_medium_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 906.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000141.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000133.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00061.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00079.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00053.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_large_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000103.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_0008.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00090.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_0010.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000117.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_purple_small_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_green_medium_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00078.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_purple_small_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_purple_medium_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_blue_small_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00017.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000105.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00043.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_blue_medium_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_medium_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_green_small_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_small_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000150.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_0001.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000139.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_0007.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_medium_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_medium_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_small_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_small_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_medium_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_blue_small_top_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000110.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_green_large_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000140.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000101.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00015.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000149.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_large_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1287.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000122.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_purple_medium_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00075.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 907.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00031.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_0009.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_blue_large_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00034.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_large_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00083.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_orange_medium_bottom_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_large_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_medium_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000145.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00089.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00087.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000129.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_blue_medium_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000104.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000102.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_large_center.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1279.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_teal_medium_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00045.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00024.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00036.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00070.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_dark_red_medium_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00098.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00073.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_000136.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_blue_small_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_black_large_bottom_right.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/Slice 1278_navy_large_top_left.png,a
/Users/anishdangol/Desktop/ranjana-app/model-details/ml/data/Dataset/a/a_00088.png,a
